pos_trt,contrast_n2,diff_med_n2,lo_n2,hi_n2,pd_n2,contrast_n5,diff_med_n5,lo_n5,hi_n5,pd_n5
YT6,janthinus - janthiniformis,0.029506752351550758,-0.14846509641199718,0.20315226826951763,0.62375,janthinus - janthiniformis,0.06694817676179715,-0.14988913177572047,0.2634373608470958,0.7405
DT6,janthinus - janthiniformis,-0.18154529952515555,-0.3658338863333488,0.00550376012528082,0.972,janthinus - janthiniformis,-0.18996879538376135,-0.38531583535653346,0.009688083464508725,0.968625
Y6D6,janthinus - janthiniformis,-0.11289532769394625,-0.31295016283758537,0.09757695183769088,0.85175,janthinus - janthiniformis,-0.11894765114436986,-0.3362138816185777,0.10306620999821134,0.857625
D6Y6,janthinus - janthiniformis,-0.09042343860144841,-0.28901281563413506,0.10975143731784906,0.810125,janthinus - janthiniformis,-0.09460502929875453,-0.3021619853653348,0.10979652946387902,0.81625
RAD,janthinus - janthiniformis,-0.07398929842046345,-0.27377560537260526,0.13357801611856301,0.7645,janthinus - janthiniformis,-0.08245040988932045,-0.28981145528228275,0.13818372992882225,0.78075
HBR,janthinus - janthiniformis,-0.1930731240296871,-0.39426181784487385,0.017760323477823695,0.9635,janthinus - janthiniformis,-0.2023653222893002,-0.4141460273563853,0.012532415362255859,0.966125
