pos_trt,contrast,diff_med,lo,hi,pd
YT6,janthinus - janthiniformis,0.029506752351550758,-0.14846509641199718,0.20315226826951763,0.62375
DT6,janthinus - janthiniformis,-0.18154529952515555,-0.3658338863333488,0.00550376012528082,0.972
Y6D6,janthinus - janthiniformis,-0.11289532769394625,-0.31295016283758537,0.09757695183769088,0.85175
D6Y6,janthinus - janthiniformis,-0.09042343860144841,-0.28901281563413506,0.10975143731784906,0.810125
RAD,janthinus - janthiniformis,-0.07398929842046345,-0.27377560537260526,0.13357801611856301,0.7645
HBR,janthinus - janthiniformis,-0.1930731240296871,-0.39426181784487385,0.017760323477823695,0.9635
