"Path","File","Date Acquired","Sample","Misc"
"C:\Data\Megan\hybrid toadflaxes\","YellowToadflaxPooled.D","05 Mar 2025  09:28    ","Yellow Toadflax Pooled"," "
"TIC: YellowToadflaxPooled.D\data.ms"
4.090,679556.000
4.094,680541.000
4.097,661987.000
4.100,671393.000
4.103,652218.000
4.106,643882.000
4.109,635424.000
4.113,625134.000
4.116,626860.000
4.119,612622.000
4.122,622366.000
4.125,622945.000
4.128,617912.000
4.132,619322.000
4.135,617616.000
4.138,600400.000
4.141,601826.000
4.144,612126.000
4.147,615976.000
4.150,628687.000
4.154,627811.000
4.157,645896.000
4.160,633745.000
4.163,640552.000
4.166,641339.000
4.169,651583.000
4.173,667472.000
4.176,686970.000
4.179,693818.000
4.182,706605.000
4.185,717013.000
4.188,720723.000
4.192,702979.000
4.195,680773.000
4.198,670073.000
4.201,655531.000
4.204,641292.000
4.207,627330.000
4.211,620139.000
4.214,610965.000
4.217,616663.000
4.220,594482.000
4.223,607058.000
4.226,608133.000
4.230,609980.000
4.233,615216.000
4.236,615778.000
4.239,637514.000
4.242,633913.000
4.245,645347.000
4.248,648983.000
4.252,648827.000
4.255,635801.000
4.258,623491.000
4.261,604927.000
4.264,591083.000
4.267,569651.000
4.271,547162.000
4.274,538924.000
4.277,533996.000
4.280,534407.000
4.283,513580.000
4.286,514691.000
4.290,513923.000
4.293,510865.000
4.296,508792.000
4.299,508754.000
4.302,494576.000
4.305,490518.000
4.309,480789.000
4.312,490928.000
4.315,489492.000
4.318,482629.000
4.321,483926.000
4.324,485112.000
4.328,488834.000
4.331,495640.000
4.334,514956.000
4.337,520297.000
4.340,525874.000
4.343,528212.000
4.347,528894.000
4.350,536303.000
4.353,534755.000
4.356,543197.000
4.359,561212.000
4.362,566337.000
4.365,588154.000
4.369,591024.000
4.372,609338.000
4.375,606402.000
4.378,589254.000
4.381,569325.000
4.384,543917.000
4.388,523656.000
4.391,501748.000
4.394,497360.000
4.397,480758.000
4.400,481451.000
4.403,463819.000
4.407,474071.000
4.410,474407.000
4.413,472850.000
4.416,486074.000
4.419,488633.000
4.422,497291.000
4.426,490433.000
4.429,495711.000
4.432,484336.000
4.435,472454.000
4.438,477079.000
4.441,465974.000
4.445,461300.000
4.448,435380.000
4.451,440265.000
4.454,429551.000
4.457,432676.000
4.460,416738.000
4.464,416967.000
4.467,407801.000
4.470,402965.000
4.473,412415.000
4.476,409060.000
4.479,413849.000
4.482,424066.000
4.486,439070.000
4.489,470190.000
4.492,512377.000
4.495,578064.000
4.498,650052.000
4.501,734454.000
4.505,805179.000
4.508,874705.000
4.511,911533.000
4.514,916517.000
4.517,868785.000
4.520,826555.000
4.524,730787.000
4.527,676690.000
4.530,598760.000
4.533,554085.000
4.536,513527.000
4.539,474673.000
4.543,448699.000
4.546,432470.000
4.549,422113.000
4.552,408617.000
4.555,413294.000
4.558,421318.000
4.562,427758.000
4.565,435354.000
4.568,463640.000
4.571,496110.000
4.574,516307.000
4.577,543094.000
4.581,565510.000
4.584,582963.000
4.587,591398.000
4.590,598816.000
4.593,613521.000
4.596,627323.000
4.599,621340.000
4.603,620805.000
4.606,603653.000
4.609,614212.000
4.612,604184.000
4.615,605922.000
4.618,609093.000
4.622,607907.000
4.625,603468.000
4.628,589761.000
4.631,569905.000
4.634,581650.000
4.637,585999.000
4.641,577793.000
4.644,588119.000
4.647,574084.000
4.650,586836.000
4.653,577907.000
4.656,572016.000
4.660,568800.000
4.663,557516.000
4.666,564479.000
4.669,554042.000
4.672,556661.000
4.675,556599.000
4.679,544031.000
4.682,546926.000
4.685,536394.000
4.688,542505.000
4.691,530839.000
4.694,538226.000
4.697,540332.000
4.701,522618.000
4.704,524645.000
4.707,536988.000
4.710,549850.000
4.713,636618.000
4.716,748624.000
4.720,829900.000
4.723,870355.000
4.726,876070.000
4.729,860757.000
4.732,828343.000
4.735,793681.000
4.739,773865.000
4.742,713295.000
4.745,690068.000
4.748,677429.000
4.751,649680.000
4.754,618672.000
4.758,606264.000
4.761,590354.000
4.764,580910.000
4.767,571559.000
4.770,571989.000
4.773,567097.000
